"","id","kalimat","label"
"1",1,"c judul ini adalah potongan dari lagu let there be peace on earth lagu yang cocok untuk refleksi di akhir minggu yang penuh kegaduhan di indonesia","CEO"
"2",2,"potongan ini juga yang langsung terbersit di pikiran saya setelah mulai membaca bab bab awal dari ensikilik fratelli tutti yang baru saja diluncurkan paus fransiskus tanggal 4 oktober yang lalu","CEO"
"3",3,"fratelli tutti yang berasal dari bahasa italia ungkapan yang dipakai st fransiskus asisi dari abad ke 13 dalam sapaan pembukaan all brothers and sisters","CEO"
"4",4,"ensiklik ini dijiwai spiritualitas st","CEO"
"5",5,"fransiskus asisi seorang rahib dari abad ke 13 yang mengabdi tuhan dengan mencintai orang miskin dan semua makhluk","CEO"
"6",6,"dia menjadi sumber inspirasi bagi banyak orang untuk memperjuangkan keadilan sosial bagi orang miskin sumber inspirasi untuk menjaga kelestarian lingkungan dan tidak ketinggalan sumber inspirasi untuk perdamaian dan persahabatan antar anak manusia dari berbagai golongan yang berbeda","CEO"
"7",7,"tahun 2019 paus fransiskus yang namanya diambil dari nama st fransiskus assisi merayakan 800 tahun pertemuan st","CEO"
"8",8,"fransis assisi dengan sultan al malik al kamil sultan dari mesir di tahun 1219 dengan mengunjungi uni emirates arab dan berdialog dengan ahmad al tayyeb imam besar al azhar saat ini","CEO"
"9",9,"mereka mendeklarasikan god has created all human beings equal in rights duties and dignity and has called them to live together as brothers and sisters","CEO"
"10",10,"kegaduhan yang terjadi di minggu yang baru saja berlalu menyulut kemarahan dan kekecewaan berbagai pihak dengan alasannya masing masing","CEO"
"11",11,"ketidaksetujuan yang berlanjut menjadi kekerasan dan perusakan di ruang publik dan bahkan berlanjut menjadi perang kata di media sosial","CEO"
"12",12,"ada yang membandingkan perusakan fasilitas publik dengan perusakan hutan oleh pihak lainnya seolah ingin menjustifikasi bahwa yang kesalahan perusakan yang dilakukan oleh pihak lain menjustifikasi kesalahan perusakan lainnya","CEO"
"13",13,"kita akan masuk ke dalam lingkaran setan perusakan kalau cara berpikir ini berlanjut","CEO"
"14",14,"memperjuangkan sesuatu yang baik akan rusak dengan cara yang tidak baik","CEO"
"15",15,"sama halnya dengan pembuat peraturan atau perundangan","CEO"
"16",16,"niat yang baik untuk memperjuangkan kebaikan untuk masyarakat banyak perlu dilakukan dengan cara yang baik juga","CEO"
"17",17,"ada yang membandingkan dengan protes kamis an yang sudah berjalan bertahun tahun dan frustasi dengan hasil yang belum kelihatan lalu menjustifikasi kekerasan sebagai cara yang lebih cepat dan efektif untuk mencapai tujuan","CEO"
"18",18,"kisah st fransiskus assisi dari abad ke 13 bisa menjadi inspirasi bahwa perjuangan keadilan sosial adalah perjuangan sangat panjang dan bukan tidak akan berbuah","CEO"
"19",19,"seberapa banyak orang yang telah terinspirasi untuk berbuat dan melakukan kebaikan untuk sesamanya yang terbuang terpinggirkan dan terlupakan","CEO"
"20",20,"st","CEO"
"21",21,"francis assisi telah menginspirasi perkerjaan mulia st","CEO"
"22",22,"mother teresa dari calcutta yang kini dilanjutkan oleh suster susternya menginspirasi ensiklik rerum novarum rights and duties of capital and labor yang dikeluarkan paus leo xiii dan sekerang menginspirasi fratelli tutti","CEO"
"23",23,"memperjuangkan keadilan sosial tanpa bersandar sepenuhnya dalam doa kepada yang maha kuasa akan melahirkan kesombongan diri dengan mengangkat diri menjadi pahlawan mengejar pujian sebagai social justice warrior","CEO"
"24",24,"kalau kita percaya tuhan maha kuasa maka kita cuma perlu berusaha sebaik mungkin dan menyerahkan sepenuhnya hasilnya kepada nya","CEO"
"25",25,"memilih jalan kekerasan sebagai jalan pintas akan mencederai perjuangan itu sendiri mengkhianati perjuangan untuk mewujudkan dunia yang penuh cinta","CEO"
"26",26,"bukankah akar dari perjuangan keadilan sosial adalah mewujudkan dunia menjadi rumah yang penuh kasih buat semua orang di mana semua penghuninya adalah sesama saudara","CEO"
"27",27,"banyak jalan menuju roma","CEO"
"28",28,"berjuang mewujudkan dunia yang adil bisa melewati berbagai jalan","CEO"
"29",29,"masing masing dari kita bisa punya peran","CEO"
"30",30,"yang rajin membaca dan menulis bisa berjuang merubah cara pandang banyak orang","CEO"
"31",31,"yang punya talenta menggerakkan orang sudah banyak yang berjuang dengan berbagai gerakan untuk membantu mengangkat saudara saudara yang tertinggal","CEO"
"32",32,"yang hidup dari wirausaha atau memimpin perusahaan bisa belajar mewujudkan perusahaannya menjadi tempat bekerja yang lebih baik buat penghuninya","CEO"
"33",33,"berbuat baik tidak harus menunggu undang undang walaupun undang undang penting untuk menjaga ketertiban","CEO"
"34",34,"ada hal yang lebih penting untuk diantisipasi bukan cuma sekedar pembagian kue","CEO"
"35",35,"di era kecerdasan buatan maju dengan cepat dan mulai menggantikan berbagai pekerjaan mulai dari level pekerja fisik sampai dengan eksekutif semua pihak perlu duduk memikirkan pertanyaan yang dilontarkan yuval noah harari 2 tahun yang lalu dalam buku 21 lessons for the 21st century","CEO"
"36",36,"apa yang akan sebagian besar orang kerjakan pada saat kecerdasan buatan atau mesin pintar melampaui berbagai kemampuan manusia dalam bekerja dan mengambil ahli sebagian besar lapangan pekerjaan yang ada semua perlu duduk bersama mengantisipasi ini sebagai sesama saudara","CEO"
"37",37,"katong samua basudara kata orang ambon","CEO"
"38",38,"saya jadi teringat waktu kuliah dulu","CEO"
"39",39,"teman satu kamar saya orang yang sangat perhatian","CEO"
"40",40,"saat itu kita katering bersama sama teman kos lain dan biasanya katering datang dalam wadah tanpa nama","CEO"
"41",41,"satu siang sepulang kuliah dia sudah menyimpankan saya satu rantang yang katanya ayamnya paling besar","CEO"
"42",42,"saya senang karena perhatiannya dan berterimakasih untuk itu tapi saya tidak bisa menerima karena teman teman kos lain adalah teman teman yang saya sayangi juga dan saya ingin mereka dapat memilih duluan","CEO"
"43",43,"saya belajar dari kecil untuk prinsip prinsip seperti ini dari teman teman main kecil saya di bagan","CEO"
"44",44,"dari mereka saya belajar brothers all are we","CEO"
"45",45,"yang mau menikmati lagu karangan miller ini berikut sebagian liriknya","CEO"
"46",46,"let there be peace on earth and let it begin with me let there be peace on earth the peace that was meant to be with god as our father brothers all are we let me walk with my brother in perfect harmony","CEO"
"47",47,"let peace begin with me let this be the moment now","CEO"
"48",48,"x","CEO"
"49",49,"tag assisi fratelli tutti social justice isikan data di bawah atau klik salah satu ikon untuk log in you are commenting using your word press","CEO"
"50",50,"com account","CEO"
"51",51,"x logout ubah you are commenting using your google account","CEO"
"52",52,"logout ubah you are commenting using your twitter account","CEO"
"53",53,"logout ubah you are commenting using your facebook account","CEO"
"54",54,"logout ubah connecting to percent s beri tahu saya komentar baru melalui email","CEO"
"55",55,"beritahu saya pos pos baru lewat surat elektronik","CEO"
"56",56,"c musim penerimaan mahasiswa baru saja dimulai","CEO"
"57",57,"seperti tahun tahun sebelumnya isu tentang ospek mulai melintas di linimasa media sosial","CEO"
"58",58,"walaupun sudah menjadi kontroversi bertahun tahun tetap saja ada kampus yang melaksanakannya dengan kekerasan walaupun tahun ini hanya berupa kekerasan verbal karena aktivitas kampus masih dijalankan secara daring","CEO"
"59",59,"ospek dengan kekerasan adalah salah satu perwujudan tentang pengagungan terhadap senioritas","CEO"
"60",60,"senior dianggap lebih mampu lebih tahu sehingga bisa membimbing junior dengan berbagai cara termasuk dengan menggunakan kekerasan dan tekanan","CEO"
"61",61,"pengagungan terhadap senioritas bukan hanya terjadi di kampus tapi juga mudah ditemukan di berbagai organisasi termasuk di berbagai tempat kerja","CEO"
"62",62,"pengagungan berlebihan ini menjadi beracun menjadi toxic","CEO"
"63",63,"saya mencoba mencari di wikipedia definisi toxic seniority dan ternyata belum ada yang memulai mendeskripsikan isitilah ini","CEO"
"64",64,"kalau kita googling yang kita temui adalah toxic leadership dan toxic masculinity","CEO"
"65",65,"di wikipedia kita bisa temukan kutipan tentang toxic masculinity seperti berikut in the social sciences toxic masculinity refers to traditional cultural masculine norms that can be harmful to men women and society overall","CEO"
"66",66,"sama halnya dengan toxic masculinity norma tentang senioritas bisa menstigma pihak junior sebagai yang lebih tidak berekemampuan lebih tidak berdaya dan bahkan lebih tidak perlu dihargai","CEO"
"67",67,"sekilas kelihatan tidak ada yang salah karena yang junior mungkin identik dengan yang masih hijau tidak berpengalaman tidak punya banyak hal untuk dihargai dan tidak berhak mendapatkan privilege","CEO"
"68",68,"namun di dunia yang terus berubah dengan cepat pernyataan tersebut makin lemah kebenarannya","CEO"
"69",69,"di dunia yang bergerak makin cepat pengetahuan bisa berubah menjadi beban atau liabilities dan ketidaktahuan bisa menjadi berkah","CEO"
"70",70,"mengapa karena di era yang sangat dinamis ini beberapa pengetahuan cepat menjadi usang kebenaran yang diyakini sebelumnya bisa berubah seiring penemuan penemuan baru kebiasaan atau kompetensi lama yang menjadi keunggulan menjadi tidak relevan dan bahkan menjadi halangan untuk maju","CEO"
"71",71,"di dunia manajemen perubahan yang cepat menuntut level agility yang tinggi","CEO"
"72",72,"strategic planning yang diagungkan di era sebelumnya kini makin berkurang relevansinya dan digantikan dengan strategic agility","CEO"
"73",73,"mengelola organisasi dengan birokrasi yang teratur dan kaku makin terengah engah mengikuti era digital","CEO"
"74",74,"kontrol yang ketat makin kalah efektif dengan pemberdayaan","CEO"
"75",75,"struktur organisasi piramida tersaingi dengan struktur jaringan yang lebih cair","CEO"
"76",76,"di era seperti ini belajar melepaskan pengetahuan menjadi tidak kalah penting dengan belajar mendapatkan pengetahuan baru","CEO"
"77",77,"sebagai analoginya untuk membangun rumah baru mungkin akan lebih mudah membeli tanah kosong dibandingakn dengan membeli rumah tua yang harus dirobohkan terlebih dahulu","CEO"
"78",78,"delearning dari para senior menjadi beban tambahan bagi organisasi","CEO"
"79",79,"memang benar bahwa senioritas membawa kebijaksanaan","CEO"
"80",80,"tapi jangan lupa bahwa kebijaksanaan hanya akan hadir bila ada kerendahan hati","CEO"
"81",81,"senioritas akan berharga bila disertai hal tersebut","CEO"
"82",82,"tidak ada yang perlu dihargai berlebihan dari senioritas","CEO"
"83",83,"senior dan junior bisa saling melengkapi dan berkolaborasi dengan produktif dalam satu organisasi bila bisa saling menghargai","CEO"
"84",84,"jangan takut untuk merekrut orang orang yang tidak berpengalaman tapi mempunyai kemampuan untuk belajar secara cepat","CEO"
"85",85,"jangan takut mengamanahkan orang yang masih junior untuk jabatan yang berat","CEO"
"86",86,"sebaliknya tidak perlu alergi untuk menerima para senior untuk menangani teknologi teknologi kekinian sepanjang mereka punya semangat untuk terus belajar delearning dan relearning","CEO"
"87",87,"seperti hukum pertama newton tentang inersia apa yang bergerak cenderung akan terus bergerak ke arah yang sama apa yang diam cenderung akan tetap diam","CEO"
"88",88,"penghargaan berlebihan terhadap senioritas telah mendarah daging bukan hanya di berbagai organisasi tapi juga di dalam budaya","CEO"
"89",89,"untuk mengubah hal tersebut tidak mudah","CEO"
"90",90,"tidak mudah bagi para junior untuk bersuara di sebagian besar organisasi","CEO"
"91",91,"dibutuhkan inisiatif dari para pemimpin organisasi untuk lebih memnberi ruang dan suara bagi para junior","CEO"
"92",92,"buat organisasi atau perusahaan yang sudah mapan anda bisa sedinamis para perusahaan start up","CEO"
"93",93,"mulailah dengan memberikan ruang bagi yang lebih muda seimbangkan telinga anda dalam mendengar tanpa menekankan senioritas","CEO"
"94",94,"saatnya jurang pemisah antara senior dan junior dijembatani untuk kolaborasi yang lebih baik","CEO"
"95",95,"tidak mudah tapi bukan tidak bisa","CEO"
"96",96,"sebagian dari kita mungkin pernah berkontribusi menyuburkan toxic seniority entah masih saat ini atau cuma saat masih di kampus","CEO"
"97",97,"entah dengan menggunakan kesungkanan para junior untuk menitipkan sanak keluarga di organisasi tersebut atau cuma sekedar dulu ikut dalam panitia ospek","CEO"
"98",98,"saya ingin menutup ini dengan meminta maaf kalau ada tindakan dan kelalaian saya yang telah ikut menyuburkan toxic seniority","CEO"
"99",99,"x tag seniority toxic seniority isikan data di bawah atau klik salah satu ikon untuk log in you are commenting using your word press","CEO"
"100",100,"com account 2","CEO"
"101",101,"logout ubah you are commenting using your google account","CEO"
"102",102,"logout ubah you are commenting using your twitter account 2","CEO"
"103",103,"logout ubah you are commenting using your facebook account 2","CEO"
"104",104,"x logout ubah connecting to percent s beri tahu saya komentar baru melalui email","CEO"
"105",105,"beritahu saya pos pos baru lewat surat elektronik 2","CEO"
"106",106,"c walaupun disertasi doktoral saya mengenai organizational ambidexterity saya jarang bertemu dengan orang yang ambidextrous secara fisik yang menjadi inspirasi konsep organizational ambidexterity","CEO"
"107",107,"orang yang ambidextrous adalah orang yang mampu menggunakan tangan kanan dan tangan kiri dengan sama baiknya termasuk untuk menulis dengan tangan kanan dan tangan kiri secara bersamaan","CEO"
"108",108,"salah satu kunci sukses kesinambungan suatu organisasi terletak pada organizational ambidexterity kemampuannya untuk menyeimbangkan fokus antara efisensi dan efektivitas antara kemampuan untuk bertahan dan kemampuan untuk berinovasi antara perspektif jangka pendek dan jangka panjang antara memperdalam pengetahuan dan kemampuan yang sudah terbangun dengan menemukan pengetahuan dan kemampuan masa depan yang belum eksis","CEO"
"109",109,"polaritas adalah kenyataan yang akan selalu hadir sepanjang sejarah bahkan makin terasa akhir akhir ini di ruang publik","CEO"
"110",110,"pandangan politik yang makin terpolarisasi bukan hanya menjadi tantangan di negara kita tapi juga di belahan dunia lainnya","CEO"
"111",111,"pertentangan ideologi kiri dan kanan liberal dan konservatif terus mewarnai sejarah manusia","CEO"
"112",112,"sebagaimana kesinambungan organisasi yang bergantung kepada kemampuan menyeimbangkan polaritas tersebut mungkin kemampuan ambidexterity ini juga bisa menjadi solusi dalam ruang publik","CEO"
"113",113,"bung karno mencoba mengelola polaritas yang ada berbagai kabinet setelah era reformasi pun mencoba mengelola polaritas yang terjadi","CEO"
"114",114,"ada berbagai tipe organizational ambidexterity tapi salah satu tipe yang sulit untuk dicapai adalah harmonic ambidexterity di mana ambidexterity terjadi secara simultan pada setiap waktu dan di seluruh unit dari suatu organisasi","CEO"
"115",115,"kemampuan ini menuntut personal ambidexterity terutama di level pemimpinnya di berbagai unit yang mampu secara simultan mengelola keseimbangan tersebut dalam pikirannya","CEO"
"116",116,"kemampuan ambidexterity ini bisa ditingkatkan dengan melatih kemampuan dan kecepatan belajar","CEO"
"117",117,"belajar berbagai hal baru membuka cakrawala berpikir dan menjauhkan kita jatuh di salah satu ekstrem tanpa bisa memahami ekstrem lain","CEO"
"118",118,"kemampuan ini juga bisa ditingkatkan dengan belajar mendengarkan dari berbagai pihak yang berbeda","CEO"
"119",119,"belajar menjadi seorang pemimpin yang baik bisa dimulai dengan belajar mendengarkan suara suara yang terabaikan suara kelompok yang termarjinalkan","CEO"
"120",120,"seorang pemimpin biasanya lebih cenderung akan mendengarkan suara suara di lingkaran terdekatnya","CEO"
"121",121,"oleh karena itu untuk melatih kemampuan ambidexterity seorang pemimpin bisa menyeimbangkan dengan mendengar suara suara sayup di kejauhan","CEO"
"122",122,"kalau mau belajar mengelola kesenjangan generasi belajarlah mendengar suara dari generasi yang berbeda dengan generasi kita","CEO"
"123",123,"kalau mau mengelola kesenjangan gender belajarlah mendengar suara dari berbagai gender yang berbeda","CEO"
"124",124,"kesempatan tatap muka tentu hanya akan memberikan pengenalan yang sangat terbatas","CEO"
"125",125,"apalagi dengan adanya pandemi ini kesempatan tersebut menjadi makin langka","CEO"
"126",126,"teknologi sosial seperti media sosial menjadi alat yang sangat bermanfaat untuk mendengar suara suara sayup dari pinggiran","CEO"
"127",127,"saya sangat bersyukur dengan hadirnya berbagai media sosial saya belajar mengenal dan memahami suara suara sayup tersebut","CEO"
"128",128,"masih ada pekerjaan rumah yang belum saya mulai punya akun tik tok","CEO"
"129",129,"saya bukan orang yang bisa berjoget ria tapi setidaknya saya bisa ikut merasakan kegembiraan dan cara berekspresi generasi tik tok","CEO"
"130",130,"pandemi covid 19 yang sedang berlangsung juga mengajarkan kita untuk lebih ambidextrous","CEO"
"131",131,"kita disadarkan untuk menyadari seberapa ekstrem sistem dan kehidupan kita telah melangkah","CEO"
"132",132,"kita disadarkan seberapa jauh kapitalisme dan konsumerisme yang ekstrem telah merampas berbagai karunia lain di dalam kehidupan kita lingkungan hidup yang indah dan berkelanjutan persahabatan sesama anak manusia ketika dihadapkan pada tantangan yang sama si virus covid 19","CEO"
"133",133,"kita diajak untuk kembali ke tengah karena kebanyakan hal yang berlebihan itu tidak baik","CEO"
"134",134,"sebagai orang yang extrovert salah satu anugerah yang saya sadari dari pandemi ini adalah kesempatan untuk berdamai dengan keheningan","CEO"
"135",135,"di balik keheningan suara suara sayup tersebut bermunculan dengan merdu","CEO"
"136",136,"bukan hanya suara suara burung berkicau di tengah keheningan jakarta tapi juga suara sayup sayup dari pinggiran suara sahabat sahabat lama yang sudah terpencar dan tentunya suara pencerahan dari berbagai bacaan","CEO"
"137",137,"kita disadarkan bahwa kebahagiaan tidak melulu seperti yang diteriakkan para motivator terkenal tapi di sudut lain ada kebahagiaan lain yang menanti","CEO"
"138",138,"memang paradoks kebahagiaan paling besar kadang kita sadari ketika tragedi mendekat","CEO"
"139",139,"saya ingat betapa hati saya diliputi kegembiraan dan rasa syukur yang tak terucapkan ketika pertama kali bangun dari meja operasi","CEO"
"140",140,"rasa syukur dan bahagia yang sama itu saya rasakan berlanjut setiap bangun pagi","CEO"
"141",141,"lima tahun yang lalu 13 juni 2015 pas di saat peringatan pesta st","CEO"
"142",142,"antonius padua saya kebetulan lewat kota padua","CEO"
"143",143,"saya sempatkan untuk berkunjung ke basilika st","CEO"
"144",144,"antonius padua tempat orang kudus ini dimakamkan seorang pengkotbah ulung yang secara ajaib ketika jenazahnya akan dipindahkan 32 tahun setelah kematiannya ternyata menyisakan bukan hanya tulang tapi lidah yang masih utuh yang sekarang berada di basilika tersebut","CEO"
"145",145,"bergabung sebagai imam di ordo fransiskan yang didirikan st","CEO"
"146",146,"fransiskus asisi perhatiannya terhadap orang miskin dan orang orang yang terpinggirkan menginspirasi banyak gerakan solidaritas hingga saat ini termasuk st","CEO"
"147",147,"anthony s bread kotak hitam berisi donasi untuk orang miskin","CEO"
"148",148,"suara dari padua juga adalah salah satu suara sayup sayup dari sudut lain untuk belajar lebih ambidextrous","CEO"
"149",149,"semoga di kesempatan lain saya bisa bercerita tentang bagaimana berbagai pihak pengambil keputusan bisa menggunakan konsep ambidexterity ini dalam mengelola pandemi ini ataupun mengelola organisasinya di tengah situasi pandemi ini","CEO"
"150",150,"kalau tertarik silakan tinggalkan pesan di bagian komentar","CEO"
"151",151,"tag ambidexterity antonius padua balance leadership management dear pak mardi saya sangat mengagumi bapak","CEO"
"152",152,"dari tulisan cerita study bapak di amerika dan bergelar doctor membuat saya terpacu suatu saat ingin menampaki seperti bapak","CEO"
"153",153,"gaya bahasa tulisannya sangat mudah dipahami dan diterapkan","CEO"
"154",154,"mungkin jika bapak berkenan suatu saat saya akan berikan ebook saya untuk pengkoreksian kata dan bersedia merevisi bagian kata yang kurang pas","CEO"
"155",155,"semoga bapak membaca komentar saya","CEO"
"156",156,"salam inspirasi afonasis suka suka isikan data di bawah atau klik salah satu ikon untuk log in you are commenting using your word press","CEO"
"157",157,"com account 3","CEO"
"158",158,"logout ubah you are commenting using your google account 2","CEO"
"159",159,"x logout ubah you are commenting using your twitter account","CEO"
"160",160,"logout ubah you are commenting using your facebook account 3","CEO"
"161",161,"logout ubah connecting to percent s beri tahu saya komentar baru melalui email 2","CEO"
"162",162,"beritahu saya pos pos baru lewat surat elektronik 3","CEO"
"163",163,"c saya meminjam judul ini dari kata kata di dalam buku yang dikarang salah satu dosen filsafat saya di stf driyarkara romo thomas hidya tjaya sj yang berjudul kierkegaard dan pergulatan menjadi diri sendiri","CEO"
"164",164,"bagi saya yang dari dulu mengangumi pemikiran kierkegaard membaca buku ini seolah diajak berdiskusi seru dengan kawan lama","CEO"
"165",165,"mengapa kierkegaard dari tokoh filsafat ini saya belajar salah satu kemampuan paling penting dalam hidup dan juga dalam memimpin kemampuan memilih termasuk dan mungkin paling sering ketika harus memilih ketika informasi yang tersedia sangat terbatas","CEO"
"166",166,"memilih adalah salah satu pergumulan batin yang paling berat dan menyiksa karena seringnya memilih satu hal berarti mengorbankan hal lainnya","CEO"
"167",167,"namun kita tetap harus memilih supaya bisa menjadi manusia yang otentik","CEO"
"168",168,"sepanjang hidup saya saya tidak pernah berhenti dihadapkan dengan berbagai pilihan sulit sama seperti kebanyakan orang dan saya terus belajar untuk memilih mulai dari memilih bagaimana saya menjalani hidup saya sampai memilih berbagai alternatif keputusan pada saat memimpin organisasi","CEO"
"169",169,"tepat 31 mei 33 tahun yang lalu saya memilih menjawab suara yang terus bergema sejak satu pagi ketika saya menginjakkan kaki di gereja tua di kampung halaman saya dengan menerima baptisan dalam gereja katolik","CEO"
"170",170,"satu pilihan yang sulit buat seorang remaja karena dengan pilihan itu saya harus menentang kehendak orang tua saya","CEO"
"171",171,"saat itu sekedar untuk ke gereja pun saya harus diam diam kadang dengan menyembunyikan sepeda saya di kolong gereja","CEO"
"172",172,"berjalan dengan waktu akhirnya mereka bisa menerima dan sekarang bahkan sesekali ikut ke gereja","CEO"
"173",173,"saya memilih untuk mengikuti suara itu yang telah terlebih dahulu memilih dan memanggil saya untuk melangkah ke situ","CEO"
"174",174,"saat saya membaca buku paulo coelho the alchemist saya baru sadar saya sering memilih dengan menanggapi tanda tanda yang berserakan sepanjang hidup saya","CEO"
"175",175,"saya baru sadar tanda tanda itu bisa hadir dengan ajaib dalam berbagai bentuk","CEO"
"176",176,"saya lahir di tanggal yang secara dirayakan sebagai hari nutrisi dan dibaptis di tanggal yang dirayakan sebagai hari tanpa tembakau sedunia","CEO"
