"","authorDisplayName","authorProfileImageUrl","authorChannelUrl","textOriginal","likeCount","publishedAt","updatedAt","episode"
"100","Sunyi Coffee","https://yt3.ggpht.com/a/AGF-l79Wg6bFQWROoyDBRBEIgCTCFYqW_9SGUd140g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCkqV2x7C5G4-ekywNwwtS_Q","mini series hasil kolaborasi dengan tropicanaslim dengan aktor asli tuli dan kerjasama komunitas seni fantasi tuli sunyi hadir sebagai tempat pertemuan 2 dunia yg sebelumnya tidak terbayang dapat bertemu  sunyi ingin terus berkembang untuk dapat memperkenalkan dunia disabilitas sebagai dunia yg mengagumkan dan penuh kejutan oleh karena itu setiap like pada video ceritasunyi di youtube akan dikonversikan menjadi rp 500 untuk pengembangan sunyi house of coffee and hope dalam membantu memperluas kesempatan teman - teman disabilitas untuk berkreasi dan berekspresi melalui kopi  ayo kita menjadi duta dunia yg menakjubkan ini dengan like dan share kepada rekan - rekan kalian semua karena setiap dukungan pasti sangat berarti  tropicanaslim ceritasunyi sahabatsunyi",29,2019-11-09 07:57:20,2019-11-09 07:57:20,3
"101","december D","https://yt3.ggpht.com/a/AGF-l781CsVm9f0dXitFEz_3gk17cKmF4SZkjnnWVA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCiupdDVNgnu16BR747Ajskw"," ko kosong astagfirullahaladzim kerja lembur bagai kuda wkwkwk",0,2019-11-26 13:57:29,2019-11-26 13:57:29,3
"102","Adinda Prameswari","https://yt3.ggpht.com/a/AGF-l78QjONK6rqCBZZA5f58wUUajAHldwv4dbec1Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCtNhBN7nM362n41cK4ShNWw","ada yang tau judul lagunya?",0,2019-11-24 12:26:24,2019-11-24 12:26:24,3
"103","Idham Maulana Irhami","https://yt3.ggpht.com/a/AGF-l7-0u_4P5bIVWbMQboxo8mG4uJzOCbZopns6BQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCiTOEQ2HUjKFK4TuyVVmWPw","ini kenapa gabisa diplay sih",0,2019-11-18 18:59:33,2019-11-18 18:59:33,3
"104","Afla Amira","https://yt3.ggpht.com/a/AGF-l7-FLghYlI7G2tD9KFuHMUHxC_TrRdSdQZKg0g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCvPj7l8r8dNDMpTU9f46hdg","guru pendidikan luar biasa lg dibutuhin bnyk ayokk masuk plb",0,2019-11-17 16:29:01,2019-11-17 16:29:01,3
"105","Fira Yunanda","https://yt3.ggpht.com/a/AGF-l78iwj25HWdnLzZzJaS8JFU4hF1IagXDa17Mnw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCCtCU-DBKpnDjm7cJNEtjUw"," u2764 u2764 u2764 u2764 u2764 ",0,2019-11-14 19:47:56,2019-11-14 19:47:56,3
"106","Vivi B","https://yt3.ggpht.com/a/AGF-l7_Dw-y0xwTSkWMGB1G6wIDwa1laWGPDJA6uvQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCz32Iq7gCWZbRlNrk3oOLZQ","durasinya bentar banget saran untuk teksnya jangan warna putih kalo pas latarnya warna cerah biar lebih mudah terbaca",1,2019-11-12 04:51:05,2019-11-12 04:51:05,3
"107","Naufal Fadhil","https://yt3.ggpht.com/a/AGF-l79KxpXKkA3l5UHGrPMIn5ylQlnKut9Y8VlAFw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCu_lx1X5ly6xE_AsWaUkGGg","ini lagunyaaa apa woeeeeee",0,2019-11-12 02:02:00,2019-11-12 02:02:00,3
"108","Annisa Rosmalia","https://yt3.ggpht.com/a/AGF-l7_u6nwrcIH4VuVmIthzjks1-os_7KFgcAWC5w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCfpZnvpskgV0m08z1CV0PMQ","puisi dan lagu yang indah ",0,2019-11-11 15:27:01,2019-11-11 15:27:01,3
"109","Irene Gracesiana","https://yt3.ggpht.com/a/AGF-l79eJJ8zqQ9XJhgHsFnpkClrxh--gZ92MA49XA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC-KZJbd-isi0OnPR4ldao1g","kata-katanya bagus banget terharu dan amazed at the same time ",0,2019-11-11 02:50:15,2019-11-11 02:50:15,3
"110","Bella Pardian N Allifiah","https://yt3.ggpht.com/a/AGF-l79t3t4IyRNWGAD8PAv8EyXzi4UTLAx9_StICg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCQ8eraKDljEfDd6fz1IKiXg","cuma 2 menit? anda meragukan hotspot emak saya?",4,2019-11-10 23:52:22,2019-11-10 23:52:22,3
"111","Syahalam Racing","https://yt3.ggpht.com/a/AGF-l78U6D4wVVzRIu1CqAsEZwc72DevYkmJnYEjwQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCA7z0vcqq51O9xp0VI1s7BA","sayang banket sama teman teman sunyi",0,2019-11-10 14:41:09,2019-11-10 14:41:09,3
"112","Irfan Parikesit","https://yt3.ggpht.com/a/AGF-l7-ZScpC4rsj27sFa625Vr5xVouf9ShoNdhUYA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCj5MdRLgrW_0DollKMLzCSg","numpang baper gan",0,2019-11-10 14:34:24,2019-11-10 14:34:24,3
"113","Marcella Soenggono","https://yt3.ggpht.com/a/AGF-l79AW5Bdxz92Vc8G9nn37RPg56gdCe-OCzwPYQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC1pH7RkAaUW1gU9a7r55MOw","bagus sekali ceritanya  ketika sepi kadang kita menemukan diri sendiri ",1,2019-11-10 14:21:15,2019-11-10 14:21:15,3
"114","Rachael Abigail Saveria","https://yt3.ggpht.com/a/AGF-l7--L4vTjFTbrTfef1URDp_Cd5q5dRFlh3ZHjQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCqvowGswJEOXfFv3Bkt4XeA","lagunya bagus bangeeeeet u2665 ufe0f ",0,2019-11-10 14:19:37,2019-11-10 14:19:37,3
"115","Bernard Sibarani","https://yt3.ggpht.com/a/AGF-l793Ud_9dRi6okn5_NpbeBr5KGWB4AP1x9I_PQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUZRDeZ0uOsQsjHsk5T6E2Q","jleb",0,2019-11-10 14:06:52,2019-11-10 14:06:52,3
"116","Farell S","https://yt3.ggpht.com/a/AGF-l7-PtYsMizHSHJY6Do56G16HSzc7jyvjwQ6zPw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UClB9i5-MOrr4jWP_UKWikXQ","monggo di like bantu bantu org gampang",0,2019-11-10 12:37:39,2019-11-10 12:37:39,3
"117","ilaaalll","https://yt3.ggpht.com/a/AGF-l7-T5nwZEdEQFGk34xr_12Smp1auC5MbP-j9-A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCJtTH--EaNAv3ScWv_BV6Cw"," ko kosong? aku bukan membaca buku tapi aku mencoba melihat mimpi2 mu   ",15,2019-11-10 08:03:50,2019-11-10 08:03:50,3
"118","Budiono Widayat","https://yt3.ggpht.com/a/AGF-l7830yRj7R5LoL1xlqfhGywbNE98Ll8ebXOQHA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCGZNLHrGTwCtKyTVXn5BHFQ","kerennn",0,2019-11-10 03:36:16,2019-11-10 03:36:16,3
"119","Pradana AJI","https://yt3.ggpht.com/a/AGF-l7--NjzJjJad8ZcdoNEL5YUFL56SYl2WDGy0bA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCBw1p6YieoVURlBDecsgDsw","speechless this is art and both of you sunyi tropicana are amazing ",0,2019-11-09 16:37:18,2019-11-09 16:37:18,3
"120","Agi Htg","https://yt3.ggpht.com/a/AGF-l78i68bbHR0pqP_N3MAdP6bEL5RcyPBtkFvzeQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCAxHiQcBqrZi47b6g9soMQg"," di dalam sunyi aku mengagumimu indah sekali",0,2019-11-09 15:54:47,2019-11-09 15:54:47,3
"121","nur widyastuti","https://yt3.ggpht.com/a/AGF-l7-XsWys9HnJ96XmRJYxegmhCNvsh3iCdfVSXQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCCV9rz-fBtr3xTFZ_NnNinA","suka tiap episode",0,2019-11-09 14:44:23,2019-11-09 14:44:23,3
"122","louise elfrida","https://yt3.ggpht.com/a/AGF-l78l9fhoRyhjD2YdJqm2P2Cluk62iyaOMHeYSg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCgVy7w0sVY9XKu8TyDPFJfw"," ketika sepi kadang kita menemukan diri sendiri  u2665 ufe0f ",12,2019-11-09 14:41:53,2019-11-09 14:41:53,3
"123","Vera Dinda Wijayanti","https://yt3.ggpht.com/a/AGF-l7_jbatkfrQfOtVfEznkvfvNd_R4bATT4pLI9Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCfT9u5bdoYzSktZdSZEDiNg","webseries dari tropicana slim kali ini tiap episode nya kenapa bikin merinding bikin ingin jadi teman tuli juga dan main ke sunyi coffe ",0,2019-11-09 13:38:21,2019-11-09 13:38:21,3
"124","Yogi Affrian","https://yt3.ggpht.com/a/AGF-l7_oA3Ucjq4tT7Om8KD43NdBf5NfXz1jgL3Pwg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCRw8lc3HyHuaZR6RwBZ1LCg","1 38 ga usah diaduk biar kerasa lebih maniss",0,2019-11-09 10:00:39,2019-11-09 10:00:39,3
"125","mega mega","https://yt3.ggpht.com/a/AGF-l79Q_oUy19-xkQ81-QB8BsDp0HP0AxwpsnPocQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCYMdRxGDqKPGbWgiVpXVxMg","tidak banyak company besar yang berani dan mau mengangkat nilai nilai sosial seperti ini salut kepada tropicana slim semoga kesadaran masyarakat terhadap teman tuli semakin besar",18,2019-11-09 09:18:59,2019-11-09 09:18:59,3
"126","nadhira tasya","https://yt3.ggpht.com/a/AGF-l79_QXSyyMx2MzZpDOOZ_9mLrPSMGFOU1tAXWw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC2IrJwSyPa6-EBbJyReDlmg","mari kita galakkan membeli produk2 tropicana slim sebanyak2nya agar supaya series2 kayak gini ada terus",0,2019-11-09 08:34:09,2019-11-09 08:34:09,3
"127","Jessica Budhyani","https://yt3.ggpht.com/a/AGF-l7-xz4IlBQu_gGgufSOlYMokJYgR4CBfSqdDSg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC8VGkx7GNIHNP9CSUW_acTQ","merinding lah nontonnyaa suka bangett",0,2019-11-09 07:54:14,2019-11-09 07:54:14,3
"128","Mojito Boss","https://yt3.ggpht.com/a/AGF-l7_vY0ZHBeKVcVGQKM4ARUE3iqtxDSYVqWeo2g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC2hzM1CfMrP6poUmgRbi1CA","aktornya ganteng uga salahfokus",0,2019-11-09 07:51:25,2019-11-09 07:51:25,3
"129","Ferlando Widjaya","https://yt3.ggpht.com/a/AGF-l7_DXO4Bdua3Ed-diAZyW6cFOH1EjlLnxOKl=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCQKlfUu8MGinF4q5VPfSAwA","soundtrack nya cucok dinyanyiin sm payung teduh",0,2019-11-09 07:48:07,2019-11-09 07:48:07,3
"130","Bianca Munaf","https://yt3.ggpht.com/a/AGF-l79t5-wFi6k1npRvieV-zPgH4jm9ZovfZDhrcg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC3PIA886VfcBgXnMWdgT6yw","ini satu menit tp lebih dalem dr sore lanjutin dong minn",0,2019-11-09 07:45:42,2019-11-09 07:45:42,3
"131","Tio Hermawan","https://yt3.ggpht.com/a/AGF-l79RMk4hquGQH0ERTMu_kmUPJr_veSAW8EKOCA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCOyKKcufyf7uD1Stma87miw","sukses risky melia kereen banget ",0,2019-11-09 07:19:24,2019-11-09 07:19:24,3
"132","fillyxia aurora","https://yt3.ggpht.com/a/AGF-l79K5aSqiNXKb-hUJrijeJuAbpI6c8RBbsgzOQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCXmGmJga0ts48LwCXu-IBSQ","manisss ",0,2019-11-09 07:09:35,2019-11-09 07:09:35,3
"133","MindStream Institute","https://yt3.ggpht.com/a/AGF-l7-l4qr8yJbx_BR4vzdnJjv0VxPbLI_v1r8wBg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCSMJgPE4YeNS9bUlQ4HPYZQ","gila ini bikin gua mewek banget  thanks tropicana slim ",0,2019-11-09 06:54:31,2019-11-09 06:54:31,3
"134","Mirmas 99","https://yt3.ggpht.com/a/AGF-l7-NV11lmSBmV-xtYBKGDnHLLYV27CyPd0ji5w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCp5BQ6Cn5ThUmJocG2qwHQA","iik luwes banget bahasa isyaratnya kayak menari ",0,2019-11-09 06:38:05,2019-11-09 06:38:05,3
"135","A. Mardhatillah","https://yt3.ggpht.com/a/AGF-l78o21LB0HZB2_w4yqL8BmhFrTA0oACDIySHig=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UChtYITLU6nOxVdS4A60BCzw","ah cinta banget sama short movie nya tropicana slim ",0,2019-11-09 06:34:13,2019-11-09 06:34:13,3
"136","Susi Lawati","https://yt3.ggpht.com/a/AGF-l79Vr96gtBeZ68gvkWGVmSGDzNf_R5sQ8gwQ4w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCiq_FM2FU-l0dWUbiwBwNvA","suka rizky cantik ",0,2019-11-09 06:28:56,2019-11-09 06:28:56,3
"137","Susi Lawati","https://yt3.ggpht.com/a/AGF-l79Vr96gtBeZ68gvkWGVmSGDzNf_R5sQ8gwQ4w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCiq_FM2FU-l0dWUbiwBwNvA","keren good job rizky utk belajar bahasa isyarat hasilnya keren banget ",0,2019-11-09 06:25:39,2019-11-09 06:25:39,3
"138","Sachi Paramitha","https://yt3.ggpht.com/a/AGF-l7_pa4CH_mqtrMeb4r7lCt1estiNMX3r29B7Nw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6brCo8TQCsfzCU4X2yGimg","nangis tanggung jawab pls bikin 1jam",0,2019-11-09 06:11:59,2019-11-09 06:11:59,3
"139","Asdar Hamzah","https://yt3.ggpht.com/a/AGF-l7_Ftz-ptEcSy9B0gVPH19ZMvCkyYLuw79CCBw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCbD6CJB1GVryVPMtCFE9xdA","judul lagunya apa ni?",0,2019-11-09 06:07:41,2019-11-09 06:07:41,3
"140","nick nickolas","https://yt3.ggpht.com/a/AGF-l7-LV1KKB0QEYUCDD0ig7OO5WFw7iCyNls1XeA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCNzQRepMDxh9EQzH98tRwoQ","h a d i r",0,2019-11-09 06:06:25,2019-11-09 06:06:25,3
"141","Geraldi Giovanda","https://yt3.ggpht.com/a/AGF-l79lZvKebajHBBxX_vn3FsJXORz5QgEGCUG47w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCwMIsQO0YnzXpNW-CwMEEwg","ini seri terbaik asli please bikin versi 1 jam",4,2019-11-09 06:04:56,2019-11-09 06:04:56,3
"142","Nisa Khoirunn","https://yt3.ggpht.com/a/AGF-l7_MD32uPy_PJu09S5s7WWEUgGHCTjg01vD6Lw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCvh61pBAONDtrUf0micoZHg","kpn sejam ",1,2019-11-09 05:56:11,2019-11-09 05:56:11,3
"143","Maher Zack","https://yt3.ggpht.com/a/AGF-l78BI4kEAX_mpgip_C7XRq54I5qU7MZktnpojw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UClcQ3PVw7M5VEjqWlWzRBYA","sukaaaaaakkkk",0,2019-11-09 05:32:18,2019-11-09 05:32:18,3
"144","SETYA NOVANTOL","https://yt3.ggpht.com/a/AGF-l7879ZZDNBaK1mdW8Q931mJu_dwhEWF8Wxxc6g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCyBoceFd-VLNCPOwDcosZHg","01 41 gulanya gak di aduk lngsung minum bisa nempel tu gula   btw episode 3 pasti 3 menit ",1,2019-11-09 05:29:29,2019-11-09 05:29:29,3
"145","Fadilah El Khuluqo","https://yt3.ggpht.com/a/AGF-l7-XC5jXpmemFsycdV9eqB0Q4Nmx5OQDTGLjdA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCfH67skVQQVJr0gKksZh6IA","seriesnya bagus terus ",0,2019-11-09 05:05:22,2019-11-09 05:05:22,3
"146","Andreas Fajar Nugroho","https://yt3.ggpht.com/a/AGF-l79BTSJTge-R1P_hZ5jfNTaBjwNIY10ffsI6tA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCF7DA1i3YfkBK8qTv-PNTQg","ada rasa manis manisnya mungkin mbaknya gula",2,2019-11-09 04:53:20,2019-11-09 04:53:20,3
"147","setiandi nur","https://yt3.ggpht.com/a/AGF-l7-WrHaydGml5dUQTrvAMiIa0_godYWKUUHgLQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCXvrVblqzUZFZidPT6VYmmQ","kemaren episode 2 dikira teaser buat episode 2 ternyata hari ini episode 3 ",0,2019-11-09 04:44:23,2019-11-09 04:44:23,3
"148","Nursyifa Aprilisa","https://yt3.ggpht.com/a/AGF-l7_D3irjVmp53a_kLh2FCWSN0H48UdJWPp6iPA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCGxqXJX5OdxvBDxRbURFBuw","tropicana slim emg bener2 keren web seriesnya ",0,2019-11-09 04:36:38,2019-11-09 04:36:38,3
"149","danirust","https://yt3.ggpht.com/a/AGF-l78utkGGN1iz9EZ9FFoVyZk_2VbD7IZp4QMAuA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCa7ZMAbWVzeXfS1-9HZJnsA","tuh kan tiap hari seru juga jadi penasaran",0,2019-11-09 04:35:41,2019-11-09 04:35:41,3
"150","princess puteri","https://yt3.ggpht.com/a/AGF-l79C8EG4_GaRg7h4n8Qas_GFmJ2NgdXFEPU26A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCaKvWM_i3c8Y2G6qC30i_ww","firstt",0,2019-11-09 04:31:24,2019-11-09 04:31:24,3
