"","No","Nama Perusahaan","Merek Dagang","Kantor Pusat","Opsi","link"
"77",77,"PT. Biro Perjalanan Umum Dayakindo Kalimantan Utama","DKU","Jl. Panglima Batur, Komp. Citra Niaga Blok A/11, Samarinda Kota, Samarinda, Kalimantan Timur, 75111",NA,"https://himpuh.or.id/daftar-anggota/detail/27/pt-biro-perjalanan-umum-dayakindo-kalimantan-utama"
"78",78,"PT. Biro Perjalanan Wisata Cordova Abila","PT. CORDOVA ABILA Travel","Jl. Kemang Timur Raya No. 48, Mampang Prapatan, Jakarta Selatan, DKI Jakarta, 12730",NA,"https://himpuh.or.id/daftar-anggota/detail/215/pt-biro-perjalanan-wisata-cordova-abila"
"79",79,"PT. Biro Perjalanan Wisata Fattur","PT. FATTUR TOUR & TRAVEL","Jl. Matraman No. 16a, Senen, Jakarta Pusat, DKI Jakarta, 10430",NA,"https://himpuh.or.id/daftar-anggota/detail/33/pt-biro-perjalanan-wisata-fattur"
"80",80,"PT. Biro Perjalanan Wisata Hudaya Safari","HUDAYA SAFARI TRAVEL","Gedung Menara Da'wah, Jl. Kramat Raya No. 45, Senen, Jakarta Pusat, DKI Jakarta, 10450",NA,"https://himpuh.or.id/daftar-anggota/detail/161/pt-biro-perjalanan-wisata-hudaya-safari"
"81",81,"PT. Biro Perjalanan Wisata Neekoi","NEEKOI WISATA","Komp. Ruko Ratna Asri Residence No. 1 Jl. Raya Dr. Ratna, Babelan, Bekasi, Jawa Barat, 17422",NA,"https://himpuh.or.id/daftar-anggota/detail/54/pt-biro-perjalanan-wisata-neekoi"
"82",82,"PT. Biro Perjalanan Wisata Proconfo (Proin)","PROIN TRAVEL","Jl. Rs Fatmawati No. 15 Komplek Golden, Cilandak, Jakarta Selatan, DKI Jakarta, 12420",NA,"https://himpuh.or.id/daftar-anggota/detail/59/pt-biro-perjalanan-wisata-proconfo-proin"
"83",83,"PT. Blang Ponte Tours & Travel","BLANG PONTE TOURS","Gedung Daniprisma Lt.2, Jl. Sultan Hasanuddin No. 47-48, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 12160",NA,"https://himpuh.or.id/daftar-anggota/detail/219/pt-blang-ponte-tours-travel"
"84",84,"PT. Blocking Ticket Center","Al A'raf Travel","Jl. Buncit Raya No. 10.c Pejaten Pasar Minggu, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12510",NA,"https://himpuh.or.id/daftar-anggota/detail/221/pt-blocking-ticket-center"
"85",85,"PT. Bobinsa Surabaya Jaya","Bobinsa Tour","Jl. Basuki Rahmat No. 12, Cipinang Muara, Tebet, Jakarta Selatan, DKI Jakarta, 12840",NA,"https://himpuh.or.id/daftar-anggota/detail/359/pt-bobinsa-surabaya-jaya"
"86",86,"PT. Bpw Alhaadi Ziarah Andalas","AZA Tour","Jl. Jenderal Sudirman No. 18 A Rt. 02/vi, Abiansemal, Badung, Bali, 0",NA,"https://himpuh.or.id/daftar-anggota/detail/289/pt-bpw-alhaadi-ziarah-andalas"
"87",87,"PT. BPW Rezki International Indonesia","Simply Travel","Jl. Lingkar Palem Semi Ruko CBD Palem Semi No. 11, Balaraja, Tangerang, Banten, 15139",NA,"https://himpuh.or.id/daftar-anggota/detail/339/pt-bpw-rezki-international-indonesia"
"88",88,"PT. Bpw Riyal Tunggal","RAGATOURS","Jl. A. Yani Km. 4,700 No. 407 Kebun Bunga Banjarmasin Timur, Banjarmasin Tengah, Banjarmasin, Kalimantan Selatan, 70235",NA,"https://himpuh.or.id/daftar-anggota/detail/63/pt-bpw-riyal-tunggal"
"89",89,"PT. Bumi Nata Wisata","BUMI NATA WISATA","Jl. Tukad Pakerisan No. 68, Denpasar Selatan, Denpasar, Bali, 80225",NA,"https://himpuh.or.id/daftar-anggota/detail/291/pt-bumi-nata-wisata"
"90",90,"PT. Cahaya Anugrah Al Mawadah","INTANAYA HAJI UMRAH","Jl. Puri Jambangan Baru Iii No.8, Jambangan, Jambangan, Surabaya, Jawa Timur, 60232",NA,"https://himpuh.or.id/daftar-anggota/detail/274/pt-cahaya-anugrah-al-mawadah"
"91",91,"PT. Cahaya Cordoba Utama","CORMA","Jl. Komplek Surapati Core Blok. Anggrek Boulevard No. 35 Rt. 004/001, Cibeunying Kidul, Bandung, Jawa Barat, 40214",NA,"https://himpuh.or.id/daftar-anggota/detail/335/pt-cahaya-cordoba-utama"
"92",92,"PT. Cahaya Selaras Sejati","CAHAYA SEJATI TOUR","Rukko Sastra Plaza Blok A No. 17, Jl. Gatot Subroto Km 5,4, Balaraja, Tangerang, Banten, 15134",NA,"https://himpuh.or.id/daftar-anggota/detail/303/pt-cahaya-selaras-sejati"
"93",93,"PT. Cakra Mandiri Utama","CAKRA TOUR","Jl. Diponegoro No. 39, Wonokromo, Surabaya, Jawa Timur, 60241",NA,"https://himpuh.or.id/daftar-anggota/detail/155/pt-cakra-mandiri-utama"
"94",94,"PT. Caraka Wisata Tour","CARAKA WISATA","Jl. Jati Baru Raya No. 56a, Gambir, Jakarta Pusat, DKI Jakarta, 10150",NA,"https://himpuh.or.id/daftar-anggota/detail/106/pt-caraka-wisata-tour"
"95",95,"PT. Centig Tour Wisata","CENTIG TOUR","Rasuna office Park unit ZO-07, Setia Budi, Jakarta Selatan, DKI Jakarta, 12940",NA,"https://himpuh.or.id/daftar-anggota/detail/222/pt-centig-tour-wisata"
"96",96,"PT. Ceria Patria Wisata","Ceria Tours","Jl. Cempaka Putih Raya No.25, Cempaka Putih, Jakarta Pusat, DKI Jakarta, 10520",NA,"https://himpuh.or.id/daftar-anggota/detail/107/pt-ceria-patria-wisata"
"97",97,"PT. Chandragama Muda","PT. CHANDRAGAMA MUDA","Jl. Taman Citra Garden 2 Blok H-1/28, Pegadungan, Kalideres, Jakarta Barat, DKI Jakarta, 11830",NA,"https://himpuh.or.id/daftar-anggota/detail/223/pt-chandragama-muda"
"98",98,"PT. Citra Wisata Dunia","CWD TOUR & TRAVEL","Jl. Ipda Tut Harsono No. 3, Umbulharjo, Yogyakarta, DI Yogyakarta, 55165",NA,"https://himpuh.or.id/daftar-anggota/detail/108/pt-citra-wisata-dunia"
"99",99,"PT. Citraceria Usaha Khalifah","KHALIFAH TOUR","Jl. Brigjen Katamso No. 11 Cihaurgeulis, Arjasari, Bandung, Jawa Barat, 40122",NA,"https://himpuh.or.id/daftar-anggota/detail/26/pt-citraceria-usaha-khalifah"
"100",100,"PT. Daehatur Ekspress","Daehatur","Apartemen Cervino Village Gf Blok. H, Jl. Kh. Abdullah Syafei Kav 27, Tebet, Jakarta Selatan, DKI Jakarta, 12810",NA,"https://himpuh.or.id/daftar-anggota/detail/312/pt-daehatur-ekspress"
"101",101,"PT. Dago Wisata Internasional","Dago Wisata","Jl. Puter No. 7, Arjasari, Bandung, Jawa Barat, 40133",NA,"https://himpuh.or.id/daftar-anggota/detail/109/pt-dago-wisata-internasional"
"102",102,"PT. Darul Manasek Internasional","DARUL MANASEK INTERNASIONAL","Ruko Ptc Blok. H8 No. 6 Pulogadung Trade Centre, Jl. Raya Bekasi Km.21, Pulo Gadung, Jakarta Timur, DKI Jakarta, 0",NA,"https://himpuh.or.id/daftar-anggota/detail/300/pt-darul-manasek-internasional"
"103",103,"PT. Dava Tour & Travel","ABHINAYA UMROH","Jl. Minang Kabau No. 29, Setia Budi, Jakarta Selatan, DKI Jakarta, 12970",NA,"https://himpuh.or.id/daftar-anggota/detail/301/pt-dava-tour-travel"
"104",104,"PT. Dawood Andalan Haramain","Dawood Andalan Haramain","Jl. Utama Komplek D'callista No. 1 Rejosari, Tenayan, Tenayan Raya, Pekanbaru, Riau, 28281",NA,"https://himpuh.or.id/daftar-anggota/detail/336/pt-dawood-andalan-haramain"
"105",105,"PT. Dhiyaa El Haramain Mubarokah","ELHARAMAIN WISATA","Ruko Grand Boulevard Asia Tropis Blok At 12-02 Harapan Indah, Abiansemal, Badung, Bali, 0",NA,"https://himpuh.or.id/daftar-anggota/detail/306/pt-dhiyaa-el-haramain-mubarokah"
"106",106,"PT. Dian Nusa Insani","DNI","Jl. Mampang Prapatan Raya No. 69, Mampang Prapatan, Jakarta Selatan, DKI Jakarta, 12790",NA,"https://himpuh.or.id/daftar-anggota/detail/28/pt-dian-nusa-insani"
"107",107,"PT. Dimas Brian Praktis","PRAKTIS","Jl. Raya Surabaya - Malang Km. 36 Bundaran Apolo, Gempol, Pasuruan, Jawa Timur, 67155",NA,"https://himpuh.or.id/daftar-anggota/detail/349/pt-dimas-brian-praktis"
"108",108,"PT. Diyo Siba Tour & Travel","Diyo Siba","Jl. Pacuan Kuda Raya No. 03 Rt. 11/11, Pulo Gadung, Jakarta Timur, DKI Jakarta, 13210",NA,"https://himpuh.or.id/daftar-anggota/detail/185/pt-diyo-siba-tour-travel"
"109",109,"PT. Dua Ribu Wisata","DRW","Jl. Dewi Sartika No. 69 A, Kramat Jati, Jakarta Timur, DKI Jakarta, 13630",NA,"https://himpuh.or.id/daftar-anggota/detail/29/pt-dua-ribu-wisata"
"110",110,"PT. El - Atieq Tour & Travel","El - Atieq","Jl. Kalimalang Raya Blok N/2a Rt. 02/10, Duren Sawit, Jakarta Timur, DKI Jakarta, 13450",NA,"https://himpuh.or.id/daftar-anggota/detail/186/pt-el-atieq-tour-travel"
"111",111,"PT. Elrey Puri Malak","Malak Tour","Jl. MT. Haryono Kav. 22 Signature Park K-01, Tebet, Jakarta Selatan, DKI Jakarta",NA,"https://himpuh.or.id/daftar-anggota/detail/360/pt-elrey-puri-malak"
"112",112,"PT. Fajrul Ikhsan Wisata","ESQ Tour & Travel","Gd. Menara 165 Lt. Dasar Lobby Office, Jl. Tb Simatupang Kav 1 Rt.008/003, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12650",NA,"https://himpuh.or.id/daftar-anggota/detail/30/pt-fajrul-ikhsan-wisata"
"113",113,"PT. Farafaza Astatama (farfaza)","FARFAZA ASTATAMA TOUR & TRAVEL","Jl. Kramat Jati Ii No. 59, Senen, Jakarta Pusat, DKI Jakarta, 10430",NA,"https://himpuh.or.id/daftar-anggota/detail/156/pt-farafaza-astatama-farfaza"
"114",114,"PT. Farfasa Nurul Qolbi","Farfasa Tour & Travel","Jl. Raya Babat Jombang KM. 02 No. 70, Baureno, Bojonegoro, Jawa Timur, 62192",NA,"https://himpuh.or.id/daftar-anggota/detail/110/pt-farfasa-nurul-qolbi"
"115",115,"PT. Farhan Surya Indah","Farhan Surya Indah Tour & Travel","Jl. Cipinag Jaya Raya Blok. A No. 7, Jatinegara, Jakarta Timur, DKI Jakarta, 13410",NA,"https://himpuh.or.id/daftar-anggota/detail/241/pt-farhan-surya-indah"
"116",116,"PT. Fatahillah Tour Mandiri","FATA TOUR","Sinpasa Commercial Blok. C No. 6 Margamulya Bekasi Utara, Bekasi Utara, Bekasi, Jawa Barat, 17142",NA,"https://himpuh.or.id/daftar-anggota/detail/314/pt-fatahillah-tour-mandiri"
"117",117,"PT. Fath Indah Travel Services","Fath Indah","Jl. Progo No. 5, Wonokromo, Surabaya, Jawa Timur, 60241",NA,"https://himpuh.or.id/daftar-anggota/detail/31/pt-fath-indah-travel-services"
"118",118,"PT. Fazary Wisata","Fazary Wisata","Ruko Prima Bintaro Blok. D, Jl. Wr. Supratman No. 53 Sektor 3 Bintaro Jaya, Ciputat Timur, Tangerang Selatan, Banten, 15412",NA,"https://himpuh.or.id/daftar-anggota/detail/224/pt-fazary-wisata"
"119",119,"PT. Flywell Travel","PT. Flywell Travel Indonesia","Jl. Jend. Sudirman Kav. 3-4, Tanah Abang, Jakarta Pusat, DKI Jakarta, 10210",NA,"https://himpuh.or.id/daftar-anggota/detail/157/pt-flywell-travel"
"120",120,"PT. Gadika Expressindo","Gadika","Jl. Bulak Rantai No.1c, Kramat Jati, Jakarta Timur, DKI Jakarta, 13510",NA,"https://himpuh.or.id/daftar-anggota/detail/158/pt-gadika-expressindo"
"121",121,"PT. Gaido Azza Darussalam Indonesia","Gaido Travel & Tours","Jl. Kyai Caringin No. 5 Cideng Jakarta Pusat, Gambir, Jakarta Pusat, DKI Jakarta, 10150",NA,"https://himpuh.or.id/daftar-anggota/detail/139/pt-gaido-azza-darussalam-indonesia"
"122",122,"PT. Garislurus Lintas Semesta","Garislurus","Jl. Cermai Raya No. 227 Kayuringin Bekasi Selatan, Babelan, Bekasi, Jawa Barat, 17144",NA,"https://himpuh.or.id/daftar-anggota/detail/280/pt-garislurus-lintas-semesta"
"123",123,"PT. Gatra Citra Kencana","GACIKEN","Jl. Warung Jati Timur No. 26, Pancoran, Jakarta Selatan, DKI Jakarta, 12740",NA,"https://himpuh.or.id/daftar-anggota/detail/119/pt-gatra-citra-kencana"
"124",124,"PT. Gema Raudhah Lestari","GR","Jl. R.e. Martadinata No. 110, Bandung Wetan, Bandung, Jawa Barat, 40114",NA,"https://himpuh.or.id/daftar-anggota/detail/32/pt-gema-raudhah-lestari"
"125",125,"PT. Gema Shafa Marwa","GSM","Ruko Mutiara Faza, Jl. Condet Raya No. 27/rc, Pasar Rebo, Jakarta Timur, DKI Jakarta, 13760",NA,"https://himpuh.or.id/daftar-anggota/detail/34/pt-gema-shafa-marwa"
"126",126,"PT. Gemilang Multazam Mitra Sakti Wisata","Gemilang Wisata","Prince Center Building 5th Flor 505, Jl. Jenderal Sudirman Kav. 3-4, Tanah Abang, Jakarta Pusat, DKI Jakarta, 10220",NA,"https://himpuh.or.id/daftar-anggota/detail/329/pt-gemilang-multazam-mitra-sakti-wisata"
"127",127,"PT. Gesya Prima Biro Perjalanan Umum","PT. Gesya Tour & Travel","Jl. Cipinang Muara Raya No. 42a, Jatinegara, Jakarta Timur, DKI Jakarta, 13420",NA,"https://himpuh.or.id/daftar-anggota/detail/256/pt-gesya-prima-biro-perjalanan-umum"
"128",128,"PT. Goenawan Erawisata Tour & Travel","Goenawan Era Wisata Haji & Umroh","Bussines Park Tangcity B.25, Jl. Jenderal Sudirman No. 01, Tangerang, Tangerang, Banten, 15117",NA,"https://himpuh.or.id/daftar-anggota/detail/35/pt-goenawan-erawisata-tour-travel"
"129",129,"PT. Graha Bintang Wisata","STAR HOLIDAY TOUR & TRAVEL SERVICE","Jl. Jatiwaringin Raya Blok H/9a Rt. 009/007, Makasar, Jakarta Timur, DKI Jakarta, 13620",NA,"https://himpuh.or.id/daftar-anggota/detail/120/pt-graha-bintang-wisata"
"130",130,"PT. Granada Wisata","Granada Wisata","Ruko Bukit Serpong Mas Blok. A3 No:7, Serpong Utara, Tangerang Selatan, Banten, 15325",NA,"https://himpuh.or.id/daftar-anggota/detail/298/pt-granada-wisata"
"131",131,"PT. Haifa Nida Wisata","Haifa Umrah & Haji Khusus","Jl. Raya Cilamaya Samping Mapolsek, Cilamaya Kulon, Karawang, Jawa Barat, 41384",NA,"https://himpuh.or.id/daftar-anggota/detail/307/pt-haifa-nida-wisata"
"132",132,"PT. Hariza","HARIZA TOUR","Jl. Sentra Eropa Ii, Blok Ab.3 No.26 Rt.09, Balikpapan Utara, Balikpapan, Kalimantan Timur, 76125",NA,"https://himpuh.or.id/daftar-anggota/detail/121/pt-hariza"
"133",133,"PT. Hasni Multi Bussiness","HM Travel","Jl. Dr. Saharjo No. 96e, Setia Budi, Jakarta Selatan, DKI Jakarta, 12960",NA,"https://himpuh.or.id/daftar-anggota/detail/310/pt-hasni-multi-bussiness"
"134",134,"PT. Hawla Mabrur","Hawla Mabrur Tour & Travel","Jl. Pengambiran No. 42 A, Pulo Gadung, Jakarta Timur, DKI Jakarta, 13220",NA,"https://himpuh.or.id/daftar-anggota/detail/36/pt-hawla-mabrur"
"135",135,"PT. Helutrans Alhaadi Ziarah","Haztour","Ruko Puri Sentra Niaga Blok A No.5-6, Cipinang Melayu, Makasar, Makasar, Jakarta Timur, DKI Jakarta, 13620",NA,"https://himpuh.or.id/daftar-anggota/detail/160/pt-helutrans-alhaadi-ziarah"
"136",136,"PT. Henira Citra Utama","Henira","Jl. TMP Kalibata Raya No. 01. Kalibata City Square Mall Blok SS/05/01, Pancoran, Jakarta Selatan, DKI Jakarta, 12750",NA,"https://himpuh.or.id/daftar-anggota/detail/361/pt-henira-citra-utama"
"137",137,"PT. Ibapuisi Tour & Travel","PT. IBAPUISI TOUR & TRAVEL","Jl. Sultan Hasanuddin Ruko Permata Blok A2 No. 44, Tambun Selatan, Bekasi, Jawa Barat, 17510",NA,"https://himpuh.or.id/daftar-anggota/detail/123/pt-ibapuisi-tour-travel"
"138",138,"PT. Idah Roes Tour & Travel Services","Idah Roes Tour & Travel services","Jl. Sultan Adam Ruko No. 8 Banjarmasin Utara, Banjarmasin Tengah, Banjarmasin, Kalimantan Selatan, 70235",NA,"https://himpuh.or.id/daftar-anggota/detail/37/pt-idah-roes-tour-travel-services"
"139",139,"PT. Ihya Tour & Travel","IHYA TOUR & TRAVEL","Jl. Ks. Tubun No. 33a, Anjongan, Pontianak, Kalimantan Barat, 78121",NA,"https://himpuh.or.id/daftar-anggota/detail/38/pt-ihya-tour-travel"
"140",140,"PT. Iman Arafah Travel","IMAN ARAFAH TRAVEL (IAT)","Ruko Icon 21 B3, Jl. Meruya Ilir Raya Rt. 008 Rw.007, Kembangan, Jakarta Barat, DKI Jakarta, 11620",NA,"https://himpuh.or.id/daftar-anggota/detail/352/pt-iman-arafah-travel"
"141",141,"PT. Impressa Media Wisata","MAIS Tour & Travel","Gedung Perkantoran Pulomas Satu Gd.VI Lt. 1 No. 09 Jl. Jend Ahmad Yani No. 2 Rt.03/013, Pulo Gadung, Jakarta Timur, DKI Jakarta",NA,"https://himpuh.or.id/daftar-anggota/detail/362/pt-impressa-media-wisata"
"142",142,"PT. Inayah Haromain","PT. Inayah Haromain","Link, Jerang Ilir Rt.03/rw.03, Cibeber, Cilegon, Banten, 42425",NA,"https://himpuh.or.id/daftar-anggota/detail/340/pt-inayah-haromain"
"143",143,"PT. Indah Permata Permai","INDAH PERMATA PERMAI","Jl. Pacuan Kuda Raya No. 03 Rt.11/11 Rawamangun Pulo Gadung, Pulo Gadung, Jakarta Timur, DKI Jakarta, 13210",NA,"https://himpuh.or.id/daftar-anggota/detail/233/pt-indah-permata-permai"
"144",144,"PT. Indah Safarina (Safarindo Tours & Travel)","SAFARINDO TOURS & TRAVEL","Jl. Raya Ps. Minggu Km. 18,2 No. 6g, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12510",NA,"https://himpuh.or.id/daftar-anggota/detail/39/pt-indah-safarina-safarindo-tours-travel"
"145",145,"PT. Intan Salsabila","INTAN SALSABILA","Jl. Tebet Barat Dalam Raya No. 55 C, Tebet, Jakarta Selatan, DKI Jakarta, 12810",NA,"https://himpuh.or.id/daftar-anggota/detail/41/pt-intan-salsabila"
"146",146,"PT. Inti Ummul Quro","Inti Ummul Quro","Jl. KH. M. Usman No. 96, Beji, Depok, Jawa Barat, 16425",NA,"https://himpuh.or.id/daftar-anggota/detail/363/pt-inti-ummul-quro"
"147",147,"PT. Jannah Firdaus Tour & Travel","JANNAH","Jl. Cinere Raya, Ruko Puri Niaga No. 11b Cinere  Cinere, Cinere, Depok, Jawa Barat, 16514",NA,"https://himpuh.or.id/daftar-anggota/detail/235/pt-jannah-firdaus-tour-travel"
"148",148,"PT. Kaisa Rossie","KAISA LILHAJJ","Jl. Madukoro No. 8 Semarang, Semarang Barat, Semarang, Jawa Tengah, 50144",NA,"https://himpuh.or.id/daftar-anggota/detail/42/pt-kaisa-rossie"
"149",149,"PT. Kalam Imran Farok","KIF Tours","Jl. Rs. Fatmawati No. 201 D, Cilandak Cilandak Barat, Cilandak, Jakarta Selatan, DKI Jakarta, 12430",NA,"https://himpuh.or.id/daftar-anggota/detail/322/pt-kalam-imran-farok"
"150",150,"PT. Kaltrabu Indah","KALTRABU INDAH TOURS","Jl. A. Yani Km. 3,5 Komp. Pertokoan Tanjung Maya Blok B No. 10d, Banjarmasin Tengah, Banjarmasin, Kalimantan Selatan, 70234",NA,"https://himpuh.or.id/daftar-anggota/detail/43/pt-kaltrabu-indah"
"151",151,"PT. Karsa Pelita Wisata","Pelita Wisata","Jl. Ciputat Raya No. 1b Unit 4, Kebayoran Lama, Jakarta Selatan, DKI Jakarta, 12310",NA,"https://himpuh.or.id/daftar-anggota/detail/328/pt-karsa-pelita-wisata"
